create_time,hashtag_names,id,username,video_description,view_count,comment_count,like_count,music_id,region_code,share_count,voice_to_text,effect_ids,playlist_id,tiktokurl,utc_year,utc_month,utc_day,utc_hour,utc_minute,utc_second,utc_date_string,utc_time_string
1704153514,"['model', 'gq', 'magazine']",7319283489898073374,camgcooper,I made it in the latest GQ magazine  🥲🤯🤯 #GQ #model #magazine ,390,4,108,7.19775199776683e+18,US,0,,,,https://www.tiktok.com/@camgcooper/video/7319283489898073374,2024,1,1,23,58,34,2024-01-01,23:58:34
1704153499,"['trump', 'viralvideo', 'relecttrump']",7319283463666863391,blacklivesdonotmatter,#trump #viralvideo #relecttrump make america great again!!,6,23,82,6.91518776958098e+18,US,0,,,,https://www.tiktok.com/@blacklivesdonotmatter/video/7319283463666863391,2024,1,1,23,58,19,2024-01-01,23:58:19
1704153505,"['happynewyear', 'newyear', 'trenches', 'border', 'biden', 'buses', 'immigration', 'migrant', 'trump2024']",7319283455165025579,actiofsvjnp,#border #happynewyear #newyear #buses #biden #trump2024 #immigration #migrant #trenches ,49,11,284,7.083146279307446e+18,US,1,,,,https://www.tiktok.com/@actiofsvjnp/video/7319283455165025579,2024,1,1,23,58,25,2024-01-01,23:58:25
1704153486,"['trend', 'fjb', 'joebiden', 'dictatorship', 'dementiaawareness', 'foryoupage']",7319283403017178414,endtheg0v,Still baffles me when i read comments from dems or pro biden “people” scary to know theres still gullible people out there.  Easily brainwashed  #fjb #trend #foryoupage #dementiaawareness #joebiden #dictatorship ,4,8,35,6.786624742460754e+18,US,0,,,,https://www.tiktok.com/@endtheg0v/video/7319283403017178414,2024,1,1,23,58,6,2024-01-01,23:58:06
1704153476,"['happynewyear', 'bbw', 'fyp', 'genx', 'trumptrain', 'trump2024', 'biggirlworld', 'fafo']",7319283325380627755,conniegenx50,#TRUMP2024 #FYP #BBW #GenX #FAFO #trumptrain #biggirlworld #happynewyear ,21,12,64,6.926730064021326e+18,US,0,,,,https://www.tiktok.com/@conniegenx50/video/7319283325380627755,2024,1,1,23,57,56,2024-01-01,23:57:56
1704153471,[],7319283282724556075,michaelrobertso23,Listen up MAGA!! ,0,2,49,7.319283425100254e+18,US,0,,,,https://www.tiktok.com/@michaelrobertso23/video/7319283282724556075,2024,1,1,23,57,51,2024-01-01,23:57:51
1704153450,"['blessed', 'sidebyside', 'mountmagazine', 'outdoorlifestyle', 'wildernessriderbuffaloranch', 'polarirs']",7319283236083944735,billyandrews6589,Great way to close out 2023. We went to Mount Magazine and Wilderness Rider Buffalo Ranch #blessed #outdoorlifestyle #sidebyside #polarirs #sidebyside #wildernessriderbuffaloranch #mountmagazine ,0,1,8,7.29068183812822e+18,US,0,,,,https://www.tiktok.com/@billyandrews6589/video/7319283236083944735,2024,1,1,23,57,30,2024-01-01,23:57:30
1704153455,"['sad', 'letsgo', 'fyp', 'trump2024', 'demsdontwork']",7319283191259450667,patriotpearson174,Thank you to all the nice comments and people willing to work. To the rest of you go play in traffic.#fyp #letsgo #sad #demsdontwork #trump2024 ,12,2,22,7.319283355734871e+18,US,0,,,,https://www.tiktok.com/@patriotpearson174/video/7319283191259450667,2024,1,1,23,57,35,2024-01-01,23:57:35
1704153439,[],7319283167959977259,blaqueoutmagazine,"Blaque/OUT Magazine is starting this new year by honoring some of the brightest spots of last year! Join us in celebrating these incredible members of our international Black & Brown, Queer & Trans communities around the globe. We believe in giving everyone their flowers tuh-day! We asked our readers for nominations of the people, events and organizations who changed lives and created change through-out 2023 with their voices, their work, their visibility and authenticity. And ya'll CAME THRU!  Thank you SO MUCH for your time, energy & dedication to our community!!! Ya'll are the illest!!!  To read the full January 2024 issue with ALL of the BEST Of and so much more, visit: https://issuu.com/blaqueoutmag/docs/blaqueout_magazine_jan_2024?fr=xKAE9_zU1NQ",110,1,20,7.200065594014731e+18,US,0,,,,https://www.tiktok.com/@blaqueoutmagazine/video/7319283167959977259,2024,1,1,23,57,19,2024-01-01,23:57:19
1704153437,"['california', 'politics', 'fyp', 'biden', 'greenscreen', 'republican', 'conservative']",7319283153393257758,infamousfire44,Ive heard of some dumb things California does but this tops the cake #greenscreen #fyp #california #politics #republican #conservative #biden ,3,53,45,7.072513628145977e+18,US,0,,,,https://www.tiktok.com/@infamousfire44/video/7319283153393257758,2024,1,1,23,57,17,2024-01-01,23:57:17
1704153427,"['chicago', 'newyork', 'china', 'wtf', 'chinese', 'viral', 'trump', 'politics', 'unbelievable', 'viralvideo', 'theft', 'biden', 'immigrant', 'immigration', 'migration', 'helpthisgoviral', 'immigrantparents', 'politicstiktok', 'nypolitics', 'migrats', 'illegal']",7319283108933668142,onlythemostviral,Migrants moved into New York man’s trailer. This should not be allowed.  #wtf #migrats #theft #illegal #viral #newyork #trump #biden #chicago #viralvideo #immigration #immigrant #china #helpthisgoviral #unbelievable #immigrantparents #chinese #politics #nypolitics #politicstiktok #migration ,27,749,1050,7.319283267877015e+18,US,0,,,,https://www.tiktok.com/@onlythemostviral/video/7319283108933668142,2024,1,1,23,57,7,2024-01-01,23:57:07
1704153422,"['limpbizkit', 'work', 'happynewyear', 'workhard', 'cummins', 'pnw', 'viralvideo', 'dodge', 'ram', 'hemi', 'fyp', 'idaho', 'dodgeram', 'bluecollar', 'laramie', 'ram2500', 'dirtyhandscleanmoney', '2024', 'trump2024', 'trucktok']",7319283090638228782,oliviaglemser,#ram2500 #hemi #cummins #trump2024 #work #trucktok #fyp #viralvideo #bluecollar #idaho #workhard #pnw #ram #dodgeram #dirtyhandscleanmoney #dodge #laramie #limpbizkit #happynewyear #2024 ,24,2,104,7.308381397170032e+18,US,0,,,,https://www.tiktok.com/@oliviaglemser/video/7319283090638228782,2024,1,1,23,57,2,2024-01-01,23:57:02
1704153416,"['🇭🇹🇭🇹🇭🇹', '2024election', 'hatientiktok🇭🇹', 'guyphilippe']",7319283083348413727,nwith36,#🇭🇹🇭🇹🇭🇹 #hatientiktok🇭🇹 #2024election #2024election #guyphilippe ,126,0,6,7.296926298801229e+18,US,0,,,,https://www.tiktok.com/@nwith36/video/7319283083348413727,2024,1,1,23,56,56,2024-01-01,23:56:56
1704153414,"['girls', 'smile', 'country', 'newyear', 'loveyall', 'godisgood', 'southern', 'busy', 'fyp', '2024', 'trump2024']",7319283076972940574,nik07447,#southern #girls #country #fyp #trump2024 #2024 #newyear #busy #smile #loveyall #godisgood ,4,7,84,7.319283170673741e+18,US,0,,,,https://www.tiktok.com/@nik07447/video/7319283076972940574,2024,1,1,23,56,54,2024-01-01,23:56:54
1704153402,"['tiktok', 'fyp', 'happynewyear2024', 'trump2024🇺🇸', '❤️awarness']",7319283008295521567,lalaleeallen,#tiktok #fyp #❤️awarness #HappyNewYear2024 #Trump2024🇺🇸 ,13,1,11,6.896883004090748e+18,US,0,,,,https://www.tiktok.com/@lalaleeallen/video/7319283008295521567,2024,1,1,23,56,42,2024-01-01,23:56:42
1704153391,"['love', 'freedom', 'america', 'usa', 'truth', 'wakeup', 'democracy', 'vote', 'education', 'memes', 'congress', 'liberal', 'democrat', 'democrats', 'republican', 'conservative', 'currentaffairs']",7319282957297011998,amberlizriendeau,Why?! What do rhwy want to happen? #usa #america #love #freedom #republican #congress #democrat #vote  #memes #liberal #conservative #democracy #democrats #currentaffairs #education #wakeup #truth,2,16,13,7.319283080013876e+18,US,0,,,,https://www.tiktok.com/@amberlizriendeau/video/7319282957297011998,2024,1,1,23,56,31,2024-01-01,23:56:31
