video_description,hashtag_names,share_count,id,like_count,music_id,region_code,username,view_count,comment_count,create_time,voice_to_text,playlist_id,effect_ids,tiktokurl,utc_year,utc_month,utc_day,utc_hour,utc_minute,utc_second,utc_date_string,utc_time_string,isPublic,mp4_isValid
Unveiling the Tape: The Dramatic Turn in Trump's Legal Saga #trump #news ,"['trump', 'news']",0,7.37e+18,92,7.37e+18,US,user2488606151222,12,48,1716767992,,,,https://www.tiktok.com/@user2488606151222/video/7373462360046030122,2024,5,26,23,59,52,26-05-2024,23:59:52,False,False
#fyppppppppppppppppppppppp #fypツ #fyp #trump2024 #conservative #republican #democrat #liberal #biden ,"['fyp', 'biden', 'liberal', 'democrat', 'republican', 'conservative', 'trump2024', 'fypツ', 'fyppppppppppppppppppppppp']",0,7.37e+18,13,7.37e+18,US,patriot9063,0,8,1716767991,,,,https://www.tiktok.com/@patriot9063/video/7373462355738561838,2024,5,26,23,59,51,26-05-2024,23:59:51,False,False
